# OH sky emission lines for Magellan/LDSS3.
# VACUUM wavelengths, converted from the air wavelengths of the UVES
# sky emission atlas identification tables (gident_*.dat).
# Restricted to 6000-10500 A; unresolved groups within
# 3.0 A blended to their flux-weighted centroid; brightest
# 300 retained.  amplitude is the summed atlas FLUX.
|         wave | ion | NIST | Instr |    amplitude |         Source |
|  6005.577759 |  OH |    1 |     0 |     0.781650 | UVES_sky_atlas |
|  6030.112340 |  OH |    1 |     0 |     0.364580 | UVES_sky_atlas |
|  6035.649055 |  OH |    1 |     0 |     0.488200 | UVES_sky_atlas |
|  6069.096782 |  OH |    1 |     0 |     0.352450 | UVES_sky_atlas |
|  6142.417454 |  OH |    1 |     0 |     1.903090 | UVES_sky_atlas |
|  6158.871837 |  OH |    1 |     0 |     0.644560 | UVES_sky_atlas |
|  6172.204089 |  OH |    1 |     0 |     1.365340 | UVES_sky_atlas |
|  6204.444299 |  OH |    1 |     0 |     0.986210 | UVES_sky_atlas |
|  6214.786430 |  OH |    1 |     0 |     0.454780 | UVES_sky_atlas |
|  6223.497263 |  OH |    1 |     0 |     0.831830 | UVES_sky_atlas |
|  6239.296651 |  OH |    1 |     0 |     7.297230 | UVES_sky_atlas |
|  6249.480383 |  OH |    1 |     0 |     0.409760 | UVES_sky_atlas |
|  6261.488651 |  OH |    1 |     0 |     5.826410 | UVES_sky_atlas |
|  6270.135247 |  OH |    1 |     0 |     0.535620 | UVES_sky_atlas |
|  6279.832692 |  OH |    1 |     0 |     0.567990 | UVES_sky_atlas |
|  6289.459582 |  OH |    1 |     0 |     3.399020 | UVES_sky_atlas |
|  6302.017549 |  OH |    1 |     0 |   127.775540 | UVES_sky_atlas |
|  6308.755060 |  OH |    1 |     0 |     3.228980 | UVES_sky_atlas |
|  6323.156821 |  OH |    1 |     0 |     1.270090 | UVES_sky_atlas |
|  6331.608357 |  OH |    1 |     0 |     3.249300 | UVES_sky_atlas |
|  6350.300340 |  OH |    1 |     0 |     0.896230 | UVES_sky_atlas |
|  6358.072145 |  OH |    1 |     0 |     2.169420 | UVES_sky_atlas |
|  6365.534024 |  OH |    1 |     0 |    41.226160 | UVES_sky_atlas |
|  6381.085461 |  OH |    1 |     0 |     0.518520 | UVES_sky_atlas |
|  6388.197349 |  OH |    1 |     0 |     1.223620 | UVES_sky_atlas |
|  6415.601101 |  OH |    1 |     0 |     0.428090 | UVES_sky_atlas |
|  6422.083926 |  OH |    1 |     0 |     0.674440 | UVES_sky_atlas |
|  6459.332018 |  OH |    1 |     0 |     0.525120 | UVES_sky_atlas |
|  6466.848013 |  OH |    1 |     0 |     2.842120 | UVES_sky_atlas |
|  6472.552509 |  OH |    1 |     0 |     2.181040 | UVES_sky_atlas |
|  6479.711561 |  OH |    1 |     0 |     0.632790 | UVES_sky_atlas |
|  6501.680021 |  OH |    1 |     0 |     6.299920 | UVES_sky_atlas |
|  6515.799954 |  OH |    1 |     0 |     0.556020 | UVES_sky_atlas |
|  6524.234754 |  OH |    1 |     0 |     0.959420 | UVES_sky_atlas |
|  6534.854796 |  OH |    1 |     0 |     3.282450 | UVES_sky_atlas |
|  6546.009322 |  OH |    1 |     0 |     1.500260 | UVES_sky_atlas |
|  6555.634892 |  OH |    1 |     0 |     2.996320 | UVES_sky_atlas |
|  6564.572743 |  OH |    1 |     0 |     1.163170 | UVES_sky_atlas |
|  6570.603660 |  OH |    1 |     0 |     1.161880 | UVES_sky_atlas |
|  6579.264102 |  OH |    1 |     0 |     3.297560 | UVES_sky_atlas |
|  6598.466618 |  OH |    1 |     0 |     0.682950 | UVES_sky_atlas |
|  6605.957036 |  OH |    1 |     0 |     1.640960 | UVES_sky_atlas |
|  6636.066206 |  OH |    1 |     0 |     0.804990 | UVES_sky_atlas |
|  6669.443775 |  OH |    1 |     0 |     0.408250 | UVES_sky_atlas |
|  6701.174474 |  OH |    1 |     0 |     0.390220 | UVES_sky_atlas |
|  6706.225550 |  OH |    1 |     0 |     0.638900 | UVES_sky_atlas |
|  6718.037460 |  OH |    1 |     0 |     1.659740 | UVES_sky_atlas |
|  6744.755306 |  OH |    1 |     0 |     0.811560 | UVES_sky_atlas |
|  6833.201791 |  OH |    1 |     0 |    12.156610 | UVES_sky_atlas |
|  6843.329405 |  OH |    1 |     0 |     1.758550 | UVES_sky_atlas |
|  6865.781684 |  OH |    1 |     0 |     9.990590 | UVES_sky_atlas |
|  6872.480087 |  OH |    1 |     0 |     1.403180 | UVES_sky_atlas |
|  6887.180655 |  OH |    1 |     0 |     4.096730 | UVES_sky_atlas |
|  6896.259290 |  OH |    1 |     0 |     0.412810 | UVES_sky_atlas |
|  6903.040998 |  OH |    1 |     0 |     2.511740 | UVES_sky_atlas |
|  6914.424879 |  OH |    1 |     0 |     2.884040 | UVES_sky_atlas |
|  6925.595746 |  OH |    1 |     0 |     5.263940 | UVES_sky_atlas |
|  6941.507846 |  OH |    1 |     0 |     3.090980 | UVES_sky_atlas |
|  6953.377764 |  OH |    1 |     0 |     8.450880 | UVES_sky_atlas |
|  6979.418586 |  OH |    1 |     0 |     6.855730 | UVES_sky_atlas |
|  7002.862501 |  OH |    1 |     0 |     1.835150 | UVES_sky_atlas |
|  7013.360305 |  OH |    1 |     0 |     1.911310 | UVES_sky_atlas |
|  7043.312014 |  OH |    1 |     0 |     0.659310 | UVES_sky_atlas |
|  7058.855096 |  OH |    1 |     0 |     6.033650 | UVES_sky_atlas |
